"Occupancy Rate by Region (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Northland","","","Auckland","","","Waikato","","","Bay of Plenty","","","Hawke's Bay, Gisborne","","","Taranaki, Manawatu, Wanganui","","","Wellington","","","Nelson, Marlborough, Tasman","","","Canterbury","","","West Coast","","","Otago","","","Southland","","","North Island","","","South Island","","","New Zealand","",""
" ","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks"
"2007M10",22.26,40.92,4180,51.50,57.18,15910,30.05,41.13,7206,32.44,51.45,6824,31.15,47.43,3281,27.40,36.80,5910,45.54,53.41,7605,22.17,38.03,4622,31.53,48.99,13356,32.20,36.72,3763,34.24,47.30,10052,26.06,34.56,2702,"..","..",50916,"..","..",34495,33.69,47.36,85411
"2007M11",24.73,46.01,4228,62.74,70.17,15972,34.61,47.11,7228,36.58,56.95,6998,31.93,48.43,3285,30.24,40.66,5642,56.64,66.82,7344,29.89,50.76,4678,38.10,59.50,13323,42.78,48.42,3832,41.87,59.71,10129,39.09,51.20,2810,"..","..",50697,"..","..",34772,40.52,57.31,85469
"2007M12",33.83,47.20,4280,50.98,54.28,15956,35.44,42.60,7186,40.36,51.80,6900,39.07,50.33,3351,27.71,33.87,5614,46.54,53.60,7617,38.25,53.07,4771,37.00,51.92,13575,43.22,46.32,3867,43.46,55.23,10160,39.11,48.16,2839,"..","..",50904,"..","..",35212,40.14,50.33,86116
"2008M01",46.40,59.79,4259,60.03,63.39,15806,48.34,53.05,7206,53.97,61.21,6890,51.21,60.19,3353,35.95,38.75,5635,52.90,59.05,7387,55.57,67.75,4865,44.51,60.13,13830,55.00,58.14,3916,54.71,64.59,10152,48.26,56.49,2860,"..","..",50536,"..","..",35623,50.80,59.46,86159
"2008M02",35.51,58.81,4305,66.70,73.89,15796,43.37,55.54,7228,45.89,64.17,6892,44.58,63.26,3356,36.37,46.50,5628,64.17,74.46,7679,50.91,71.32,4923,46.46,67.83,13859,59.69,65.79,3915,55.85,74.90,10218,56.35,67.50,2864,"..","..",50884,"..","..",35779,50.78,67.12,86663
"2008M03",32.16,54.16,4310,63.67,70.09,15878,40.03,51.90,7380,42.15,59.29,6912,43.82,62.52,3399,37.03,48.43,5531,63.66,74.30,7615,44.50,66.67,4935,43.92,63.62,13873,55.11,62.58,3888,51.47,67.66,10335,48.96,59.58,2851,"..","..",51025,"..","..",35882,47.63,63.39,86907
"2008M04",24.09,43.67,4327,55.42,61.58,16010,32.90,44.90,7487,36.11,53.73,6929,32.51,48.72,3404,29.28,40.65,5645,53.43,63.67,7598,31.17,49.64,4916,34.68,52.36,13904,39.74,47.01,3877,41.45,57.47,10393,35.15,44.90,2851,"..","..",51400,"..","..",35941,38.26,53.15,87341
"2008M05",17.77,34.58,4206,49.44,55.45,15970,25.45,36.07,7456,28.59,46.33,6867,24.22,38.37,3272,24.65,35.64,5465,47.21,56.85,7626,21.27,34.92,4851,30.00,40.45,13836,25.59,31.24,3883,29.78,41.19,10360,25.06,35.30,2508,"..","..",50862,"..","..",35438,30.85,43.31,86300
"2008M06",14.70,26.97,4090,45.42,51.26,15807,22.86,32.86,7468,26.61,43.59,6612,21.44,34.20,3312,22.17,32.05,5866,42.05,50.94,7623,19.59,32.59,4747,26.95,37.22,13822,20.18,25.79,3799,26.59,37.67,10317,17.07,25.74,2446,"..","..",50778,"..","..",35131,27.53,39.14,85909
"2008M07",13.95,27.34,4075,46.73,52.20,15842,24.26,34.82,7443,28.60,46.23,6633,23.69,36.91,3312,29.28,41.64,6059,45.82,54.93,7482,18.24,30.34,4699,31.45,42.69,13922,22.76,28.48,3734,41.28,58.28,10245,18.38,27.33,2457,"..","..",50846,"..","..",35057,31.31,44.20,85903
"2008M08",11.67,22.83,4088,49.88,56.11,15852,24.64,35.24,7495,26.41,43.06,6694,20.21,32.20,3329,28.79,40.54,6067,41.84,49.20,7797,17.80,29.19,4735,29.81,40.11,13930,21.31,26.44,3821,40.84,57.00,10354,17.55,25.82,2466,"..","..",51322,"..","..",35306,30.51,42.99,86628
"2008M09",16.25,29.47,4223,50.62,56.89,15900,26.15,35.97,7495,29.16,46.75,6508,24.61,38.28,3419,30.25,41.88,6103,47.01,55.44,7890,20.21,32.49,4671,32.77,43.29,13851,25.82,29.89,3789,33.51,45.68,10376,21.46,29.15,2577,"..","..",51538,"..","..",35264,32.08,44.24,86802
"2008M10",19.70,36.35,4230,54.82,61.16,15971,30.26,40.69,7519,33.41,52.79,6497,31.48,47.73,3424,29.01,39.00,6159,52.15,60.87,7911,23.76,36.71,4827,32.44,47.22,13995,32.20,36.16,3890,30.69,41.58,10643,25.35,33.52,2649,"..","..",51711,"..","..",36004,34.45,47.59,87715
"2008M11",23.21,43.81,4272,60.17,67.54,15988,32.67,45.11,7548,33.25,51.01,6820,32.64,47.64,3443,28.83,39.17,6188,54.06,62.95,8036,28.63,46.01,4977,37.31,53.99,14199,40.11,47.52,3920,36.18,49.62,10750,36.59,47.31,2945,"..","..",52295,"..","..",36791,38.21,53.01,89086
"2008M12",28.97,43.76,4231,52.21,57.02,15999,34.50,43.23,7604,37.60,49.67,7021,37.22,47.82,3481,25.87,32.13,5932,44.78,50.91,7990,37.85,49.22,5038,35.75,47.62,14176,40.62,44.55,3934,39.52,49.09,10965,37.94,45.99,2947,"..","..",52258,"..","..",37060,38.38,48.26,89318
"2009M01",43.09,58.48,4242,56.13,58.84,15990,45.96,51.70,7623,51.96,57.67,7017,48.67,58.14,3452,34.62,35.79,5931,47.95,52.84,8027,55.36,64.24,5041,43.31,56.48,14157,52.30,56.92,3952,51.06,58.02,10937,47.32,55.76,2949,"..","..",52282,"..","..",37036,48.29,55.67,89318
"2009M02",34.37,57.28,4254,64.60,71.44,15893,41.86,54.24,7634,42.42,59.68,7069,44.15,59.77,3454,33.32,42.81,6063,60.06,68.77,8038,48.89,68.46,5049,45.65,64.53,14151,57.45,65.02,3921,49.96,64.91,10886,54.50,64.87,2944,"..","..",52405,"..","..",36951,48.20,63.18,89356
"2009M03",28.86,51.40,4282,61.24,68.18,16100,38.90,53.37,7634,36.32,54.56,7096,41.11,57.50,3444,31.59,41.34,6094,59.28,68.87,8068,38.01,58.82,5047,41.60,60.43,14334,47.87,55.96,3889,45.80,61.51,10936,45.89,56.75,2964,"..","..",52718,"..","..",37170,43.62,59.40,89888
"2009M04",27.51,44.25,4253,50.71,55.71,16168,35.56,46.76,7661,35.47,54.06,6820,36.76,51.10,3416,28.12,36.52,6139,53.76,62.63,7933,30.00,46.35,5062,34.74,49.10,14376,39.23,46.47,3846,39.35,52.30,10922,34.55,43.02,2924,"..","..",52390,"..","..",37130,37.78,50.58,89520
"2009M05",18.57,33.52,4208,44.65,49.85,16131,24.41,35.23,7631,27.25,43.90,6782,24.59,35.99,3688,24.35,34.89,5824,47.46,56.10,7931,20.82,34.53,4992,30.65,40.61,14138,27.65,33.59,3808,29.24,40.02,10810,24.46,33.64,2455,"..","..",52195,"..","..",36203,30.04,41.66,88398
"2009M06",13.68,25.89,4102,41.27,46.39,15950,21.53,32.16,7520,21.91,37.15,6756,19.83,29.53,3691,21.22,29.92,6253,40.57,48.24,8041,16.13,28.06,4825,24.74,33.65,14087,19.97,25.64,3771,26.37,37.07,10716,15.81,24.07,2401,"..","..",52313,"..","..",35800,25.39,36.14,88113
"2009M07",14.56,27.35,4128,48.08,53.88,15889,24.08,35.88,7462,24.46,41.26,6753,21.61,31.99,3722,28.47,39.83,6458,42.42,50.27,8076,17.19,29.66,4777,30.13,40.72,14218,22.58,28.12,3784,41.45,58.06,10787,17.83,27.18,2392,"..","..",52488,"..","..",35958,30.45,43.14,88446
"2009M08",13.41,25.11,4240,44.64,50.05,15925,22.50,33.79,7467,22.12,36.68,6738,21.84,34.85,3278,27.70,38.72,6468,39.12,46.29,8080,17.31,27.98,4790,29.33,39.57,14150,21.32,26.79,3800,41.78,57.09,10788,18.28,27.28,2415,"..","..",52196,"..","..",35943,29.14,41.06,88139
"2009M09",17.34,30.45,4244,47.81,53.54,16313,26.93,39.06,7384,26.78,41.86,7107,25.62,39.23,3281,29.38,40.10,6521,46.90,55.01,8344,18.50,30.76,4888,31.76,42.17,14365,25.64,29.02,3922,35.06,45.62,10827,23.30,31.25,2472,"..","..",53194,"..","..",36474,31.61,43.26,89668
"2009M10",21.13,36.97,4307,52.67,58.50,16304,29.48,42.11,7549,29.71,45.78,7140,29.66,44.95,3371,25.32,34.33,6448,49.29,57.47,8362,22.13,36.15,5004,32.46,47.18,14370,32.63,38.19,3819,31.76,41.78,10943,27.06,35.60,2761,"..","..",53481,"..","..",36897,33.39,46.15,90378
"2009M11",24.23,43.24,4374,57.82,64.38,16346,31.98,45.03,7600,31.69,48.48,7177,32.39,48.84,3374,25.27,33.26,6386,51.86,60.25,8372,29.22,46.37,5088,37.75,54.70,14360,40.43,47.46,3957,37.76,51.58,10896,38.97,49.86,3041,"..","..",53629,"..","..",37342,37.77,52.06,90971
"2009M12",31.11,46.42,4323,52.50,57.48,16342,36.75,44.70,7671,39.10,50.82,7201,36.65,48.38,3335,26.54,32.34,6178,44.08,49.68,8472,37.29,48.91,5143,36.77,49.85,14383,43.43,46.54,4063,43.30,52.13,10780,39.58,47.67,3048,"..","..",53522,"..","..",37417,39.64,49.44,90939
"2010M01",43.41,56.23,4335,56.29,59.88,16378,48.18,53.55,7766,52.59,60.19,7221,50.26,57.49,3364,30.93,33.62,6374,50.60,56.07,8310,55.30,62.96,5202,45.01,58.54,14456,54.56,59.15,4054,55.22,63.51,10819,47.22,54.30,3079,"..","..",53748,"..","..",37610,49.47,57.10,91358
"2010M02",34.15,58.54,4287,63.79,70.78,16212,41.36,55.11,7636,43.42,59.67,7202,44.27,62.28,3365,33.07,42.10,6309,63.16,72.27,8168,47.29,67.61,5136,45.77,65.33,14603,58.35,65.42,4048,51.13,67.53,11172,55.95,67.65,3094,"..","..",53179,"..","..",38053,48.52,64.06,91232
"2010M03",28.09,49.11,4283,60.68,68.26,16105,38.84,53.47,7515,37.82,55.76,7213,39.85,57.71,3369,31.89,41.59,6384,58.33,67.88,8174,37.48,58.03,5136,41.79,60.40,14761,46.08,53.77,4048,47.96,64.77,11095,44.91,56.38,3047,"..","..",53043,"..","..",38087,43.70,59.54,91130
"2010M04",26.06,44.92,4217,51.96,57.85,16113,33.39,46.53,7544,34.59,50.68,7225,35.49,50.53,3358,27.73,36.09,6386,48.74,56.82,8123,30.49,44.66,5088,34.67,49.41,14741,37.24,44.13,4041,41.24,54.75,11052,34.05,42.08,3028,"..","..",52966,"..","..",37950,37.30,50.23,90916
"2010M05",17.90,32.53,4199,46.73,53.20,16195,23.18,34.84,7515,26.20,41.94,7187,22.13,35.01,3338,21.49,29.55,6346,41.77,49.42,8258,18.19,29.39,4989,27.55,36.60,14442,22.91,28.44,3944,26.31,37.92,10898,21.52,29.64,2665,"..","..",53038,"..","..",36938,28.08,39.49,89976
"2010M06",14.66,25.02,4080,42.37,48.35,16155,23.07,35.62,7446,25.77,40.97,7177,21.91,35.20,3323,22.41,31.08,6397,40.81,48.69,8128,16.17,26.52,4706,26.21,34.90,14320,18.66,23.95,3917,28.32,41.60,10873,17.73,25.19,2568,"..","..",52706,"..","..",36384,26.91,38.04,89090
"2010M07",14.57,26.08,4110,45.27,51.56,16371,23.52,36.25,7477,28.14,45.04,7159,22.57,34.66,3316,26.58,36.85,6555,40.94,48.80,8127,17.47,29.22,4665,30.41,40.23,14469,22.13,27.70,3857,41.74,60.92,10997,18.00,26.08,2559,"..","..",53115,"..","..",36547,30.47,43.05,89662
"2010M08",13.71,23.25,4109,46.44,53.14,16347,21.36,31.82,7515,23.99,38.84,7167,20.26,32.49,3309,25.08,34.24,6518,38.77,45.87,7949,17.63,29.36,4712,29.87,39.59,14519,19.71,24.31,3886,39.17,57.11,11031,16.54,24.44,2572,"..","..",52914,"..","..",36720,29.06,41.03,89634
"2010M09",15.65,27.74,4129,50.21,57.00,16386,24.75,36.64,7538,28.21,44.79,7171,24.47,37.78,3290,27.93,38.21,6329,46.74,54.87,8109,18.86,30.38,4764,33.40,44.01,14059,22.61,25.84,4019,34.77,48.76,11055,19.32,25.56,2723,"..","..",52952,"..","..",36620,31.61,43.91,89572
"2010M10",21.86,37.50,4206,53.57,60.36,16458,30.34,42.83,7538,30.57,46.75,7190,29.22,43.79,3326,26.89,35.61,6376,48.29,55.88,8240,21.82,34.44,5048,32.79,48.91,14035,28.31,32.78,4037,30.53,41.67,11059,24.22,32.16,2725,"..","..",53334,"..","..",36904,33.40,46.37,90238
"2010M11",22.69,41.57,4260,61.71,69.86,16376,33.25,47.26,7550,33.79,52.57,7209,32.65,49.15,3332,28.94,37.50,6404,52.35,60.22,8235,29.66,46.71,5028,39.28,58.10,14280,38.76,46.61,4037,36.78,50.19,11220,36.78,47.08,3027,"..","..",53366,"..","..",37592,38.85,54.04,90958
"2010M12",30.48,44.54,4259,53.17,58.98,16330,35.33,42.53,7539,35.80,49.48,7209,36.03,48.34,3364,25.84,30.46,6294,46.63,52.09,8185,36.38,47.25,5021,36.86,49.99,14344,39.60,45.06,4039,42.47,52.57,11230,36.29,44.71,3074,"..","..",53180,"..","..",37708,38.96,49.24,90888
"2011M01",45.88,56.43,4246,58.70,62.28,16212,47.64,53.73,7565,47.42,58.66,7210,47.76,55.93,3398,32.36,33.32,6122,48.60,52.28,8186,54.92,63.34,5047,46.63,62.76,14040,50.12,55.85,4032,52.07,60.73,11197,45.14,53.07,3106,"..","..",52939,"..","..",37422,48.94,57.23,90361
"2011M02",33.77,56.84,4224,65.70,73.31,16145,42.28,57.20,7574,40.92,61.30,7156,44.73,62.66,3385,34.00,42.96,6347,63.35,71.95,8162,47.01,67.81,5022,40.29,58.05,13647,55.60,64.19,4039,53.45,69.21,11215,51.28,62.00,3107,"..","..",52993,"..","..",37030,47.80,63.63,90023
"2011M03",28.77,50.73,4246,62.56,70.10,16189,37.47,51.64,7578,36.29,54.35,7121,37.56,57.01,3388,33.93,44.06,6380,60.83,69.53,8164,37.00,56.44,5017,34.48,54.86,9908,45.04,53.00,4034,46.71,61.93,11220,41.39,51.74,3107,"..","..",53066,"..","..",33286,42.63,58.67,86352
"2011M04",26.84,45.99,4240,56.37,62.94,16191,34.71,48.68,7543,33.84,51.94,7091,31.80,47.85,3430,29.66,38.18,6304,53.19,61.57,8162,29.57,46.33,5019,32.49,53.11,9614,36.49,43.22,3902,40.09,52.53,11151,31.18,39.68,3092,"..","..",52961,"..","..",32778,37.74,52.22,85739
"2011M05",19.11,32.98,4156,50.98,58.03,16166,22.18,33.93,7507,26.41,41.40,7094,24.60,37.38,3429,22.45,30.77,6372,46.61,54.64,8165,20.38,31.52,4822,29.45,43.13,9501,21.56,26.53,3872,26.09,36.87,11021,21.61,30.57,2672,"..","..",52889,"..","..",31888,29.55,41.83,84777
"2011M06",15.40,28.28,4066,46.32,52.37,16141,23.01,35.61,7502,25.28,41.48,7015,22.36,34.38,3370,21.52,29.87,6312,45.39,53.41,8030,17.82,28.59,4687,28.15,40.62,9440,20.71,27.00,3546,24.66,35.38,10819,17.10,25.20,2597,"..","..",52436,"..","..",31089,27.64,39.67,83525
"2011M07",16.48,29.44,4109,51.99,58.63,16482,23.56,36.72,7514,29.38,47.71,6982,20.05,31.81,3346,26.02,35.64,6283,48.77,57.75,7877,19.12,31.11,4638,31.24,45.46,9861,20.95,26.50,3453,38.85,56.44,11236,16.46,24.28,2590,"..","..",52593,"..","..",31778,31.80,45.78,84371
"2011M08",14.09,26.78,4128,54.73,62.16,16201,22.08,34.05,7528,28.44,48.10,7013,23.95,37.39,3319,27.38,37.83,6288,49.71,58.61,8117,19.16,31.32,4672,31.13,44.76,10019,18.70,23.70,3550,39.66,57.37,11258,16.68,24.52,2634,"..","..",52594,"..","..",32133,32.08,46.48,84727
"2011M09",18.36,34.20,4129,54.60,61.48,16482,26.35,38.52,7466,28.02,42.64,7028,28.23,43.37,3372,28.09,37.46,6290,50.67,58.77,8012,19.56,30.80,4785,27.55,45.97,9837,22.56,26.59,3871,33.83,45.89,11222,22.43,30.60,2641,"..","..",52779,"..","..",32356,32.14,45.73,85135
"2011M10",20.11,36.59,4103,60.90,68.14,16603,30.15,43.14,7489,29.94,48.14,7015,29.64,43.97,3404,26.82,35.92,6235,51.90,59.17,8142,23.44,38.22,4883,29.88,48.10,10053,27.01,31.18,3889,29.43,38.92,11468,21.84,29.84,2773,"..","..",52991,"..","..",33066,33.96,47.85,86057
"2011M11",23.85,44.64,4136,60.73,68.37,16564,32.96,47.91,7477,34.25,54.65,7013,33.80,49.52,3411,28.66,38.18,6248,57.75,66.06,8142,29.44,47.19,4862,36.40,58.05,10026,37.99,43.63,4030,39.46,53.74,11516,34.58,45.10,3057,"..","..",52991,"..","..",33491,39.06,54.90,86482
"2011M12",29.77,45.85,4141,54.98,59.97,16880,34.78,42.54,7470,36.56,51.91,7032,37.26,48.97,3437,26.88,31.22,6183,45.85,51.13,8130,36.47,48.61,4942,36.56,53.12,10036,39.37,43.46,4012,44.43,53.99,11500,35.80,44.27,3072,"..","..",53273,"..","..",33562,39.57,50.29,86835
"2012M01",43.51,55.47,4150,57.21,60.88,16998,44.91,51.51,7425,45.42,58.44,7062,47.91,56.46,3440,35.28,37.55,6295,50.91,54.94,8040,51.33,59.99,4966,41.88,58.20,10038,50.70,55.27,4045,55.46,63.91,11449,41.81,49.99,3094,"..","..",53410,"..","..",33592,47.96,56.60,87002
"2012M02",33.97,56.72,4159,64.58,71.02,16991,41.15,55.89,7397,37.61,55.91,7069,43.29,60.63,3440,37.16,46.31,6193,63.70,71.35,8059,44.13,61.48,5074,39.91,62.08,9849,50.17,57.91,4001,49.84,65.27,11436,43.71,54.12,3089,"..","..",53308,"..","..",33449,46.51,62.13,86757
"2012M03",24.86,46.77,4132,64.19,71.41,17142,37.07,52.37,7518,34.06,53.90,7053,37.56,54.27,3446,36.95,47.34,6205,60.86,69.51,8016,35.72,55.18,5005,36.13,58.02,9808,41.94,49.01,3979,44.31,59.65,11427,36.88,47.63,3089,"..","..",53512,"..","..",33308,42.22,58.72,86820
"2012M04",22.93,41.91,4071,54.83,60.54,17168,32.38,46.02,7579,32.90,51.02,7014,28.47,41.10,3437,29.66,37.54,6197,46.80,53.20,8021,27.73,42.34,5038,32.17,50.93,9769,35.78,41.60,3972,41.07,54.46,11415,28.94,37.34,3033,"..","..",53487,"..","..",33227,36.30,49.91,86714
"2012M05",16.60,30.51,4031,49.45,55.35,17117,23.22,35.35,7543,23.72,37.40,7063,23.45,35.76,3443,23.40,31.28,6223,45.43,53.28,7999,19.95,31.11,4852,28.58,41.31,9642,22.33,28.07,3740,27.15,38.31,11354,20.85,30.46,2643,"..","..",53419,"..","..",32231,29.04,41.04,85650
"2012M06",14.46,25.11,3997,48.95,54.62,17083,23.92,37.77,7489,23.70,37.31,7443,21.65,33.30,3445,21.87,29.00,6314,43.67,50.77,7991,18.20,28.81,4552,26.37,38.57,9750,18.01,23.47,3668,25.93,37.44,11292,17.01,24.44,2573,"..","..",53762,"..","..",31835,27.75,39.45,85597
"2012M07",14.17,24.98,3969,46.69,51.93,16792,22.58,35.77,7487,23.51,36.85,7444,20.31,31.03,3422,26.31,35.51,6293,42.70,49.65,7977,18.00,28.87,4555,28.84,42.29,9778,22.48,28.22,3624,41.17,59.22,11148,18.57,26.65,2538,"..","..",53384,"..","..",31643,29.89,42.51,85027
"2012M08",13.02,23.79,3920,50.40,56.31,16780,20.41,32.00,7444,22.11,35.10,7504,19.02,28.58,3430,25.02,33.71,6304,40.25,46.96,7950,17.33,28.20,4520,29.51,43.24,9836,18.21,23.87,3586,39.12,56.76,11168,19.00,27.14,2539,"..","..",53332,"..","..",31649,29.28,41.95,84981
"2012M09",16.24,29.73,4034,52.24,57.95,16836,24.11,36.46,7449,26.43,40.94,7502,23.21,34.01,3458,27.19,36.36,6304,49.25,56.96,8252,19.49,29.73,4745,31.91,45.21,9978,20.50,24.40,3913,32.18,44.87,11301,19.70,26.61,2650,"..","..",53835,"..","..",32587,31.21,43.47,86422
"2012M10",20.95,37.96,4032,58.99,65.46,16885,28.61,42.69,7421,29.49,44.17,7505,30.74,44.75,3491,27.01,34.96,6324,51.62,58.74,8287,23.28,36.13,4927,32.93,50.91,10216,28.89,31.46,3988,31.72,43.74,11284,23.22,31.12,2800,"..","..",53945,"..","..",33215,34.47,47.90,87160
"2012M11",23.07,41.23,4101,64.34,71.19,16892,31.65,46.92,7449,31.07,47.89,7507,32.99,47.86,3523,27.69,35.35,6306,56.37,63.68,8269,27.80,43.44,4941,36.44,56.26,10150,34.24,39.90,4019,36.80,50.63,11338,31.95,40.96,3098,"..","..",54047,"..","..",33546,38.22,53.04,87593
"2012M12",31.08,43.46,4073,57.95,62.37,16894,33.99,43.99,7420,34.83,47.56,7503,36.89,47.52,3541,26.44,29.69,6291,48.21,51.99,8266,36.32,47.11,4976,37.15,52.79,10261,40.99,44.87,3968,46.04,58.10,11371,33.24,39.45,3131,"..","..",53988,"..","..",33707,40.18,50.60,87695
"2013M01",44.90,48.23,4088,60.05,62.84,16746,47.03,55.46,7422,45.33,54.81,7505,47.03,55.15,3533,32.48,35.16,6291,50.28,53.88,8295,50.97,59.17,5033,43.88,59.78,10603,42.53,47.29,3970,53.70,62.58,11331,41.46,50.00,3134,"..","..",53880,"..","..",34071,48.07,55.95,87951
"2013M02",32.91,55.81,4023,68.32,74.70,16660,40.78,55.97,7422,41.92,59.46,7519,43.40,59.74,3546,33.77,41.41,6220,60.33,67.34,8294,46.21,63.76,5072,43.91,64.69,10416,51.82,59.09,3968,52.74,69.40,11408,47.64,59.08,3136,"..","..",53684,"..","..",34000,48.14,63.50,87684
"2013M03",29.16,48.40,3989,68.21,74.76,16624,40.60,55.13,7426,38.62,55.48,7522,40.82,55.27,3553,35.51,42.98,6094,58.95,65.77,8295,39.65,59.17,5090,41.14,62.64,10489,43.83,50.38,3962,50.12,65.98,11399,40.59,50.99,3136,"..","..",53503,"..","..",34076,45.66,60.93,87579
"2013M04",23.14,40.45,3974,58.78,65.16,16602,29.55,43.46,7432,31.52,46.52,7533,31.08,45.32,3549,26.97,34.29,6105,50.39,57.56,8283,28.07,44.61,5056,34.47,52.79,10447,32.60,38.16,3944,42.63,58.08,11376,29.17,37.39,3163,"..","..",53478,"..","..",33986,36.98,51.10,87464
"2013M05",16.49,30.44,3957,54.71,61.67,16601,21.83,33.88,7419,26.19,40.12,7563,24.02,36.40,3501,22.72,30.58,6048,49.58,57.08,8291,21.62,35.12,4962,31.32,44.22,10396,21.35,26.64,3691,28.54,40.21,11304,20.94,28.46,2765,"..","..",53380,"..","..",33118,30.67,43.36,86498
"2013M06",14.34,24.08,3955,50.16,56.12,16521,21.41,34.15,7404,24.53,37.95,7550,21.27,31.53,3496,21.56,28.80,6181,46.38,53.49,8130,18.18,28.65,4878,28.72,40.88,10444,16.81,22.05,3655,30.04,43.17,11206,16.48,23.92,2593,"..","..",53237,"..","..",32776,28.51,40.44,86013
"2013M07",15.00,26.26,3926,52.31,58.72,16393,23.74,38.52,7438,25.29,39.60,7572,23.66,33.30,3495,30.00,40.64,6180,48.84,56.74,8081,17.83,29.01,4823,31.04,44.04,10355,20.37,26.80,3451,42.81,61.48,11291,17.42,24.95,2574,"..","..",53085,"..","..",32494,32.19,45.86,85579
"2013M08",13.38,23.52,3910,53.37,59.89,16360,21.59,34.98,7265,24.07,38.28,7566,21.36,30.27,3451,27.77,37.42,6184,44.64,51.57,8122,18.63,30.69,4748,30.00,42.88,10527,19.25,24.99,3488,42.86,61.11,11235,17.68,24.79,2600,"..","..",52858,"..","..",32598,31.21,44.53,85456
"2013M09",15.52,26.96,3931,58.85,66.23,16443,24.85,39.14,7470,28.90,45.83,7539,25.88,37.14,3464,29.35,39.45,6192,45.06,52.09,8142,19.66,31.66,4948,32.89,45.34,10897,19.92,23.74,3737,34.42,47.61,11269,19.63,27.46,2628,"..","..",53181,"..","..",33479,32.70,45.91,86660
"2013M10",18.78,33.24,3932,61.50,68.60,16493,29.49,44.19,7463,31.67,48.98,7586,32.44,47.21,3458,28.52,37.33,6170,51.59,58.64,8246,22.12,35.95,5048,34.14,51.70,10937,25.73,30.27,3904,34.30,47.68,11388,23.99,32.63,2804,"..","..",53348,"..","..",34081,35.31,49.64,87429
"2013M11",22.78,41.95,3958,68.35,76.07,16535,31.75,46.33,7467,36.79,57.18,7645,34.25,49.74,3474,32.22,42.64,6167,56.91,64.14,8278,30.26,47.53,5106,37.82,56.69,11105,36.61,43.04,3881,41.15,57.06,11549,34.37,44.39,3198,"..","..",53524,"..","..",34839,40.70,56.74,88363
"2013M12",31.51,44.57,3957,60.02,64.81,16573,36.18,45.77,7503,38.40,52.67,7711,38.49,48.56,3530,28.81,34.39,6192,49.49,54.48,8446,36.56,49.74,5136,37.53,51.60,11077,43.91,48.89,3891,47.66,59.35,11565,37.04,44.92,3210,"..","..",53912,"..","..",34879,41.83,52.85,88791
"2014M01",47.26,56.03,3949,63.54,67.87,16591,47.34,56.28,7548,49.64,61.12,7715,48.22,55.21,3532,36.25,38.13,6117,50.00,53.92,8446,51.10,61.33,5184,44.96,59.78,11111,51.63,58.38,3814,56.28,67.59,11550,43.40,54.31,3171,"..","..",53898,"..","..",34830,50.34,59.57,88728
"2014M02",34.03,56.10,3983,74.04,81.63,16637,43.61,57.99,7611,42.37,60.62,7808,42.48,58.34,3552,36.24,44.69,6216,62.50,69.41,8374,49.42,65.91,5387,46.75,66.95,11190,56.27,65.26,3830,58.23,75.79,11554,47.46,59.70,3174,"..","..",54181,"..","..",35135,51.08,66.97,89316
"2014M03",26.73,45.56,3985,66.72,73.70,16650,38.34,52.97,7647,36.80,54.24,7807,38.93,55.46,3567,34.08,42.75,6190,57.87,65.67,8373,39.37,58.87,5349,41.82,61.70,11269,46.81,55.16,3802,50.82,67.24,11582,42.26,53.60,3173,"..","..",54219,"..","..",35175,44.95,60.61,89394
"2014M04",27.12,45.94,3919,60.63,66.69,16612,34.82,48.08,7692,36.11,53.40,7890,34.92,49.44,3530,28.17,36.17,6151,53.18,60.02,8359,30.75,47.11,5348,37.75,56.08,11248,39.23,47.40,3770,47.69,62.86,11545,32.57,41.30,3152,"..","..",54153,"..","..",35063,40.60,54.87,89216
